ASV,Kingdom,Phylum,Class,Order,Family,Genus,Label
ASV02064,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,,Proteobacteria (f. Spongiibacteraceae)
ASV02065,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Opitutaceae,,Verrucomicrobia (f. Opitutaceae)
ASV02066,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae,Bryobacter,Acidobacteria (g. Bryobacter)
ASV02067,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Halobacteriovorax,Proteobacteria (g. Halobacteriovorax)
ASV02068,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Bacteroidetes (g. Paludibacter)
ASV02069,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,,Bacteroidetes (f. Chitinophagaceae)
ASV02070,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Nitratireductor,Proteobacteria (g. Nitratireductor)
ASV02071,Bacteria,Bacteroidetes,Bacteroidia,,,,Bacteroidetes (c. Bacteroidia)
ASV02072,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,,Bacteroidetes (f. Dysgonomonadaceae)
ASV02073,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,Proteobacteria (g. Blastomonas)
ASV02074,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,,Bacteroidetes (f. Prolixibacteraceae)
ASV02075,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter,Proteobacteria (g. Anaeromyxobacter)
ASV02076,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,C2U,,Proteobacteria (o. Rhizobiales)
ASV02077,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,,Planctomycetes (f. Pirellulaceae)
ASV02078,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,Proteobacteria (f. Acetobacteraceae)
ASV02079,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,,Bacteroidetes (f. Saprospiraceae)
ASV02080,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,BIrii41,,Proteobacteria (o. Myxococcales)
ASV02081,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,,,Bacteroidetes (o. Cytophagales)
ASV02082,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,Proteobacteria (g. Yersinia)
ASV02083,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,,Proteobacteria (f. Xanthobacteraceae)
ASV02084,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas,Proteobacteria (g. Roseomonas)
ASV02085,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,Fimbriiglobus,Planctomycetes (g. Fimbriiglobus)
ASV02086,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Proteobacteria (g. Sphingorhabdus)
ASV02087,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Methylophilaceae,Methylophilus,Proteobacteria (g. Methylophilus)
ASV02088,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,,Bacteroidetes (o. Flavobacteriales)
ASV02089,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus,Proteobacteria (g. Sandaracinus)
